expiration,strike,type_call,last_call,mark_call,bid_call,bid_size_call,ask_call,ask_size_call,volume_call,open_interest_call,date_call,implied_volatility_call,delta_call,gamma_call,theta_call,vega_call,rho_call,week_call,type_put,last_put,mark_put,bid_put,bid_size_put,ask_put,ask_size_put,volume_put,open_interest_put,date_put,implied_volatility_put,delta_put,gamma_put,theta_put,vega_put,rho_put,week_put,open_interest_diff,student_z
2020-03-20,335.0,call,6.66,6.72,6.7,36,6.74,36,2854,107186,2020-02-14,0.12074,0.60488,0.03051,-0.07799,0.40257,0.18937,2020-02-08/2020-02-14,put,4.08,4.08,4.07,20,4.08,220,8510,17666,2020-02-14,0.13233,-0.40279,0.02798,-0.07043,0.40462,-0.1343,2020-02-08/2020-02-14,6.950025418909339,6.950025418909339
2020-03-20,338.0,call,4.69,4.69,4.68,49,4.7,1,2269,33621,2020-02-14,0.11114,0.5107,0.03432,-0.07345,0.41691,0.16083,2020-02-08/2020-02-14,put,5.22,5.17,5.16,73,5.18,101,1067,4003,2020-02-14,0.12532,-0.48886,0.03044,-0.06727,0.4169,-0.16321,2020-02-08/2020-02-14,2.211009049900815,2.211009049900815
2020-03-20,339.0,call,4.08,4.09,4.08,7,4.1,89,1802,29509,2020-02-14,0.10824,0.47548,0.03519,-0.07114,0.41627,0.15,2020-02-08/2020-02-14,put,5.72,5.62,5.61,73,5.63,103,273,1404,2020-02-14,0.12364,-0.51969,0.03083,-0.06574,0.41655,-0.17362,2020-02-08/2020-02-14,2.091311347548474,2.091311347548474
2020-03-20,340.0,call,3.52,3.53,3.52,34,3.54,72,8459,116556,2020-02-14,0.10535,0.43865,0.03579,-0.06828,0.41212,0.13862,2020-02-08/2020-02-14,put,6.17,6.12,6.1,37,6.14,5,4562,6435,2020-02-14,0.12242,-0.5509,0.03092,-0.06403,0.41366,-0.18421,2020-02-08/2020-02-14,8.579828701236217,8.579828701236217
2020-03-20,342.0,call,2.5,2.54,2.53,37,2.55,86,2118,35799,2020-02-14,0.10017,0.362,0.0358,-0.06125,0.39185,0.11475,2020-02-08/2020-02-14,put,7.4,7.23,7.16,5,7.31,5,71,1675,2020-02-14,0.12044,-0.6133,0.0304,-0.05957,0.40013,-0.20547,2020-02-08/2020-02-14,2.5674914337736805,2.5674914337736805
2020-03-20,345.0,call,1.42,1.44,1.43,69,1.44,834,10456,32186,2020-02-14,0.09407,0.24895,0.03224,-0.04812,0.33147,0.07921,2020-02-08/2020-02-14,put,9.4,9.28,9.17,5,9.39,5,50,4293,2020-02-14,0.12166,-0.69725,0.02745,-0.05284,0.36498,-0.23462,2020-02-08/2020-02-14,2.0745394289108696,2.0745394289108696
2020-03-20,347.0,call,0.91,0.93,0.92,287,0.93,961,1123,36741,2020-02-14,0.09102,0.18233,0.0278,-0.03858,0.27653,0.05813,2020-02-08/2020-02-14,put,10.91,10.86,10.7,5,11.01,5,11,1532,2020-02-14,0.12486,-0.74273,0.02471,-0.04883,0.33725,-0.25085,2020-02-08/2020-02-14,2.6533288475557626,2.6533288475557626
2020-03-31,345.0,call,1.76,1.79,1.78,5,1.79,120,755,199345,2020-02-14,0.08995,0.27403,0.0309,-0.04296,0.39921,0.11434,2020-02-08/2020-02-14,put,10.54,9.75,9.64,5,9.85,5,20,1456,2020-02-14,0.11983,-0.67062,0.0252,-0.04627,0.43371,-0.29762,2020-02-08/2020-02-14,15.523403017204634,15.523403017204634
2020-03-31,346.0,call,1.33,1.5,1.49,5,1.5,258,225,42209,2020-02-14,0.08889,0.24197,0.02931,-0.03963,0.37424,0.10106,2020-02-08/2020-02-14,put,11.25,10.47,10.35,5,10.59,5,34,121,2020-02-14,0.12029,-0.69412,0.02433,-0.04436,0.42034,-0.30852,2020-02-08/2020-02-14,3.1975459622165356,3.1975459622165356
2020-04-17,325.0,call,15.71,15.95,15.92,99,15.98,10,119,8901,2020-02-14,0.1334,0.77734,0.01593,-0.05494,0.41816,0.42543,2020-02-08/2020-02-14,put,3.5,3.45,3.44,1006,3.46,5,4441,38264,2020-02-14,0.15611,-0.25432,0.01465,-0.05186,0.44975,-0.15415,2020-02-08/2020-02-14,-2.4551444084226426,-2.4551444084226426
2020-04-17,346.0,call,2.37,2.39,2.38,110,2.4,398,3369,188098,2020-02-14,0.09376,0.2941,0.0262,-0.04016,0.48326,0.16725,2020-02-08/2020-02-14,put,11.52,11.21,11.11,5,11.3,5,0,218,2020-02-14,0.12105,-0.65885,0.02161,-0.03932,0.51458,-0.40327,2020-02-08/2020-02-14,14.731562764167903,14.731562764167903
2020-04-17,350.0,call,1.32,1.33,1.33,5,1.34,787,8158,36301,2020-02-14,0.09056,0.19285,0.02156,-0.03037,0.3841,0.11008,2020-02-08/2020-02-14,put,14.96,14.21,14.06,5,14.36,5,61,1429,2020-02-14,0.1241,-0.73269,0.0189,-0.03412,0.46143,-0.45147,2020-02-08/2020-02-14,2.6266678259478717,2.6266678259478717
2020-05-15,326.0,call,16.29,16.74,16.72,45,16.77,5,1,1905,2020-02-14,0.13416,0.73048,0.01461,-0.051,0.55687,0.5731,2020-02-08/2020-02-14,put,5.3,5.04,5.03,5,5.05,5,155,50804,2020-02-14,0.15489,-0.29401,0.01319,-0.04491,0.58072,-0.26003,2020-02-08/2020-02-14,-4.000692533442684,-4.000692533442684
2020-05-15,327.0,call,15.16,15.96,15.93,97,15.98,5,95,2734,2020-02-14,0.13279,0.71692,0.01512,-0.05141,0.57044,0.56362,2020-02-08/2020-02-14,put,5.3,5.25,5.24,139,5.26,5,674,51411,2020-02-14,0.15291,-0.30586,0.01361,-0.04497,0.5912,-0.27053,2020-02-08/2020-02-14,-3.983129486567456,-3.983129486567456
