expiration,strike,type_call,last_call,mark_call,bid_call,bid_size_call,ask_call,ask_size_call,volume_call,open_interest_call,date_call,implied_volatility_call,delta_call,gamma_call,theta_call,vega_call,rho_call,week_call,type_put,last_put,mark_put,bid_put,bid_size_put,ask_put,ask_size_put,volume_put,open_interest_put,date_put,implied_volatility_put,delta_put,gamma_put,theta_put,vega_put,rho_put,week_put,open_interest_diff
2020-03-09,332.0,call,5.44,5.39,5.37,40,5.41,5,292,398,2020-02-21,0.15626,0.56772,0.03496,-0.13801,0.28297,0.08567,2020-02-15/2020-02-21,put,3.67,3.5,3.49,5,3.52,5,276,7704,2020-02-21,0.15047,-0.4302,0.03627,-0.11875,0.28271,-0.06845,2020-02-15/2020-02-21,-0.685988710080503
2020-03-13,315.0,call,19.86,20.03,19.99,5,20.08,5,25,108,2020-02-21,0.22501,0.86436,0.0121,-0.10495,0.17423,0.15432,2020-02-15/2020-02-21,put,1.22,1.08,1.07,238,1.09,232,476,9967,2020-02-21,0.21403,-0.12428,0.01198,-0.08173,0.164,-0.02447,2020-02-15/2020-02-21,-0.912909397210147
2020-03-13,320.0,call,14.98,15.56,15.52,5,15.6,5,5,252,2020-02-21,0.20718,0.8088,0.01644,-0.11849,0.21791,0.14623,2020-02-15/2020-02-21,put,1.67,1.6,1.58,1445,1.61,198,960,5888,2020-02-21,0.19833,-0.18135,0.01662,-0.09689,0.21088,-0.03571,2020-02-15/2020-02-21,-0.5375525379275436
2020-03-13,325.0,call,11.1,11.34,11.32,1,11.36,5,121,507,2020-02-21,0.18904,0.72933,0.02189,-0.12922,0.26481,0.13341,2020-02-15/2020-02-21,put,2.29,2.37,2.35,5,2.38,435,485,6061,2020-02-21,0.18157,-0.26301,0.02247,-0.10893,0.261,-0.05183,2020-02-15/2020-02-21,-0.530264055223027
2020-03-13,334.0,call,4.75,4.7,4.68,136,4.71,5,2834,985,2020-02-21,0.15062,0.50004,0.03311,-0.12146,0.31911,0.09324,2020-02-15/2020-02-21,put,4.8,4.72,4.71,5,4.74,40,2976,7663,2020-02-21,0.14452,-0.50055,0.03451,-0.10238,0.31911,-0.09876,2020-02-15/2020-02-21,-0.6301695986361566
2020-03-13,345.0,call,0.33,0.3,0.3,1965,0.31,5,1479,6566,2020-02-21,0.09895,0.08367,0.01943,-0.03017,0.12301,0.01588,2020-02-15/2020-02-21,put,11.5,11.46,11.32,5,11.59,5,5,444,2020-02-21,0.09498,-0.92498,0.01864,-0.01176,0.11326,-0.18406,2020-02-15/2020-02-21,0.5075447747517955
2020-03-20,314.0,call,21.24,21.35,21.29,10,21.41,10,24,10498,2020-02-21,0.21403,0.85666,0.01144,-0.09128,0.20889,0.20277,2020-02-15/2020-02-21,put,1.56,1.56,1.55,5,1.56,5,2636,20972,2020-02-21,0.21739,-0.14688,0.01145,-0.08024,0.21235,-0.03877,2020-02-15/2020-02-21,-0.9675730174940212
2020-03-20,315.0,call,19.87,20.45,20.39,5,20.5,10,220,27609,2020-02-21,0.21099,0.84745,0.0121,-0.0934,0.21778,0.20111,2020-02-15/2020-02-21,put,1.64,1.67,1.66,5,1.67,296,8993,115034,2020-02-21,0.2148,-0.15663,0.01209,-0.08267,0.22162,-0.04135,2020-02-15/2020-02-21,-7.807280732070295
2020-03-20,318.0,call,17.65,17.79,17.73,5,17.84,24,69,19495,2020-02-21,0.20199,0.81574,0.01427,-0.09971,0.24594,0.19503,2020-02-15/2020-02-21,put,1.99,2.04,2.03,5,2.04,608,10427,37536,2020-02-21,0.20657,-0.18927,0.01419,-0.08942,0.25005,-0.04998,2020-02-15/2020-02-21,-1.6401577568242267
2020-03-20,319.0,call,16.7,16.91,16.86,5,16.96,10,168,11639,2020-02-21,0.19849,0.80429,0.01507,-0.10134,0.25522,0.19278,2020-02-15/2020-02-21,put,2.16,2.17,2.17,5,2.18,366,3908,24156,2020-02-21,0.20336,-0.20107,0.01495,-0.09121,0.25941,-0.0531,2020-02-15/2020-02-21,-1.149162897558989
2020-03-20,320.0,call,15.96,16.05,15.99,5,16.1,76,524,26825,2020-02-21,0.19544,0.79153,0.0159,-0.10323,0.26505,0.19018,2020-02-15/2020-02-21,put,2.34,2.33,2.32,5,2.33,241,18681,102373,2020-02-21,0.20093,-0.21446,0.01572,-0.09349,0.26948,-0.05665,2020-02-15/2020-02-21,-6.751606231075865
2020-03-20,321.0,call,15.3,15.21,15.2,14,15.23,1,336,8986,2020-02-21,0.19285,0.77742,0.01673,-0.10537,0.27532,0.18721,2020-02-15/2020-02-21,put,2.45,2.49,2.48,5,2.49,282,5483,35124,2020-02-21,0.19818,-0.22832,0.01652,-0.09544,0.27931,-0.06032,2020-02-15/2020-02-21,-2.3598509819275275
2020-03-20,324.0,call,12.3,12.7,12.68,1,12.72,1,282,15787,2020-02-21,0.18263,0.73217,0.01952,-0.10922,0.30416,0.17756,2020-02-15/2020-02-21,put,3.0,3.02,3.02,5,3.03,70,6334,29802,2020-02-21,0.18888,-0.27406,0.01909,-0.09969,0.30767,-0.07243,2020-02-15/2020-02-21,-1.2823110328195477
2020-03-20,326.0,call,11.07,11.08,11.06,10,11.1,10,278,23305,2020-02-21,0.17532,0.69722,0.02156,-0.11054,0.32248,0.16987,2020-02-15/2020-02-21,put,3.43,3.45,3.44,201,3.45,1,4547,30657,2020-02-21,0.18294,-0.3096,0.02087,-0.10177,0.32567,-0.08185,2020-02-15/2020-02-21,-0.6900773711098659
